player_name
Adam Shpak
Anastasiia Adamchuk
Andrea Kagramanova
Andrii Kushtan
Andrii Mertsyn
Andrii Moskalyuk
Andrii Novytskyy
Andrii Samsonov
Anna Yarosh
Artem Kolechko
Denys Ihnatyuk
Denys Petrovtsi
Denys Shpontak
Elina Holub
Heorhii Chobonian
Ife Idowu
Illya Horbey
Ivan Baran
Kostiantyn Nikolaienko
Krystyna Ovsepian
Krystyna Turis
Leonid Baranyuk
Liliana Turianytsia
Liudvik Neimet
Maksym Konevych
Maksym Maksym
Maksym Rosul
Matviy Isichenko
Mykhailo Buletsa
Mykhailo Fabrytsiy
Mykhailo Kushtan
Mykhailo Matviyshyn
Mykhailo Meshko
Mykhailo Slychko
Mykola Ahapov
Mykola Dmytruk
Mykola Savula
Mykola Valeriya
Mykyta Barkov
Mykyta Omelchenko
Nataliya Kyyan
Nika Dan
Nikol Koshelya
Oleh Korchynskyy
Oleksandr Barzun
Oleksandr Chornomyz
Oleksandr Didkivskyi
Oleksandr Habor
Oleksandr Hrin
Oleksandr Kobzunenko
Oleksandr Kyryliuk
Oleksandr Mahellan
Oleksandr Sverhun
Oleksandr Yurichka
Oleksandra Rusanova
Oleksandra Yurychka
Oleksii Kuzishyn
Oleksii Oryshchenko
Oleksii Pylypov
Olena Habor
Orest Sarakhman
Pavlo Pryimak
Petro Kurta
Sergio Shcherbanych
Serhii Kotsipak
Stanislav Obshanskyi
Stanislav Shmyrov
Stanislav Zaychenko
Stepan Giga
Valentyn Kushnir
Valeriia Varodi
Vasyl Kruchanytsia
Vasyl Prodan
Vasyl Rusyn
Viktor Hotra
Viktor Kurtei
Viktor Kutskyr
Viktor Pushaver
Violetta Dmytruk
Vitalii Bunyak
Vitalii Hanich
Vladyslav Drabych
Vladyslav Mokrytskyy
Vladyslav Reyka
Vladyslav Romanenko
Vladyslav Trompak
Yakiv Stetsenko
Yaroslav Beznoskov
Yaroslav Hazdyk
Yevhen Chantsev
Yevhen Ravlyk
Yevheniy Dutko
Yuliia Black
Yuliia Korol
Yurii Ploskina
Yurii Tsap
